round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,1.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.6071428571428571
1,1,0.24404761904761904
1,2,0.47470238095238093
1,3,0.2425595238095238
1,4,0.23958333333333334
1,5,0.24107142857142858
2,0,0.47470238095238093
2,1,0.24404761904761904
2,2,0.47023809523809523
2,3,0.24404761904761904
2,4,0.24404761904761904
2,5,0.24404761904761904
3,0,0.4732142857142857
3,1,0.24404761904761904
3,2,0.46279761904761907
3,3,0.24553571428571427
3,4,0.24553571428571427
3,5,0.24553571428571427
4,0,0.46577380952380953
4,1,0.24702380952380953
4,2,0.4583333333333333
4,3,0.24553571428571427
4,4,0.24553571428571427
4,5,0.24553571428571427
5,0,0.4583333333333333
5,1,0.24702380952380953
5,2,0.46130952380952384
5,3,0.24702380952380953
5,4,0.24702380952380953
5,5,0.24553571428571427
6,0,0.4583333333333333
6,1,0.24851190476190477
6,2,0.45535714285714285
6,3,0.24702380952380953
6,4,0.24702380952380953
6,5,0.24702380952380953
7,0,0.4583333333333333
7,1,0.24702380952380953
7,2,0.45535714285714285
7,3,0.24851190476190477
7,4,0.24702380952380953
7,5,0.24702380952380953
8,0,0.45535714285714285
8,1,0.24851190476190477
8,2,0.4538690476190476
8,3,0.24702380952380953
8,4,0.24851190476190477
8,5,0.24851190476190477
9,0,0.45535714285714285
9,1,0.24851190476190477
9,2,0.4538690476190476
9,3,0.24851190476190477
9,4,0.24851190476190477
9,5,0.24851190476190477
10,0,0.4538690476190476
10,1,0.24851190476190477
10,2,0.45089285714285715
10,3,0.24851190476190477
10,4,0.24851190476190477
10,5,0.24851190476190477
