round,agent,infected_prob
0,0,0.0
0,1,0.0
0,2,1.0
0,3,0.0
0,4,1.0
0,5,0.0
1,0,0.3207831325301205
1,1,0.2723146747352496
1,2,0.9374068554396423
1,3,0.2736842105263158
1,4,0.9388059701492537
1,5,0.26777609682299547
2,0,0.35846153846153844
2,1,0.31336405529953915
2,2,0.9448584202682563
2,3,0.3174846625766871
2,4,0.938622754491018
2,5,0.3113496932515337
3,0,0.37227414330218067
3,1,0.3453689167974882
3,2,0.9477611940298507
3,3,0.3484375
3,4,0.9416167664670658
3,5,0.352112676056338
4,0,0.38618524332810045
4,1,0.36363636363636365
4,2,0.948948948948949
4,3,0.35917721518987344
4,4,0.9416167664670658
4,5,0.35545023696682465
5,0,0.3898573692551506
5,1,0.38041733547351525
5,2,0.9504504504504504
5,3,0.37360890302066774
5,4,0.9446107784431138
5,5,0.3722044728434505
6,0,0.39171974522292996
6,1,0.3818770226537217
6,2,0.9503012048192772
6,3,0.3723916532905297
6,4,0.9457831325301205
6,5,0.3780290791599354
7,0,0.3868378812199037
7,1,0.38599348534201955
7,2,0.9500756429652042
7,3,0.38287560581583197
7,4,0.9441087613293051
7,5,0.3817292006525285
8,0,0.40549273021001614
8,1,0.38651315789473684
8,2,0.9498480243161094
8,3,0.37846655791190864
8,4,0.9440242057488654
8,5,0.3848684210526316
9,0,0.387987012987013
9,1,0.40397350993377484
9,2,0.9512195121951219
9,3,0.39144736842105265
9,4,0.9453717754172989
9,5,0.400329489291598
10,0,0.4095394736842105
10,1,0.3963515754560531
10,2,0.9525993883792049
10,3,0.39008264462809916
10,4,0.9419847328244275
10,5,0.3880597014925373
