round,agent,infected_prob
0,0,1.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
1,0,0.9642857142857143
1,1,0.4044776119402985
1,2,0.39344262295081966
1,3,0.40298507462686567
1,4,0.4110612855007474
1,5,0.4110612855007474
2,0,0.9613095238095238
2,1,0.5059701492537313
2,2,0.491044776119403
2,3,0.5014925373134328
2,4,0.4992526158445441
2,5,0.5209580838323353
3,0,0.9583333333333334
3,1,0.5552238805970149
3,2,0.5650224215246636
3,3,0.5552238805970149
3,4,0.5727136431784108
3,5,0.5553892215568862
4,0,0.9642857142857143
4,1,0.6038863976083707
4,2,0.5874439461883408
4,3,0.5791044776119403
4,4,0.5939849624060151
4,5,0.5853293413173652
5,0,0.9626307922272048
5,1,0.6156156156156156
5,2,0.6098654708520179
5,3,0.5949177877428998
5,4,0.6093514328808446
5,5,0.594311377245509
6,0,0.9641255605381166
6,1,0.6189759036144579
6,2,0.6111111111111112
6,3,0.5960960960960962
6,4,0.6123680241327301
6,5,0.6015037593984962
7,0,0.9625187406296851
7,1,0.6283987915407855
7,2,0.6081081081081081
7,3,0.5894736842105263
7,4,0.6117824773413897
7,5,0.6093514328808446
8,0,0.9640179910044977
8,1,0.6160849772382397
8,2,0.6219879518072289
8,3,0.6024096385542169
8,4,0.6212121212121212
8,5,0.6
9,0,0.9624624624624625
9,1,0.6267071320182094
9,2,0.625
9,3,0.6114457831325302
9,4,0.6196969696969697
9,5,0.6115326251896813
10,0,0.9623493975903614
10,1,0.622154779969651
10,2,0.6295180722891566
10,3,0.6114457831325302
10,4,0.6124620060790273
10,5,0.6130500758725341
